login,post,posts_time,posts_dt,ticker
GoldenHamster,$AFLT 🚀🚀🚀😃,20:54,2023-01-11,AFLT
VASILEV.INVEST,"🔔НОВОСТИ на 11.01.2023🔔

📌Meta (признана в России экстремистской организацией и запрещена). $META
• Пользователи социальной сети Instagram (запрещена в РФ как экстремистская) из ряда стран жалуются на сбои в ее работе, свидетельствуют данные сайта Downdetector, который отслеживает сбои и отключения популярных интернет-ресурсов.
• Instagram принадлежит компании Meta (признана в России экстремистской организацией и запрещена), которой также принадлежат сервисы Messenger, WhatsApp и Facebook.


📌Магнит. $MGNT
• Магнит планирует создать новую сеть дискаунтеров.
• Активное развитие дискаунтеров в РФ отраслевые аналитики назвали одной из главных примет ушедшего года, так как тренд на экономное потребление лишь усилился даже по сравнению с предыдущими, осложненными пандемией годами.


📌ВТБ. $VTBR
• По оценке ВТБ, в 2022 году российские банки выдали более 4,8 триллиона рублей по ипотечным кредитам. Это второй результат в истории рынка, за исключением 2021 года, когда объем продаж достиг 5,7 триллиона рублей.


📌Sinopec. $338
• Крупный китайский производитель Sinopec 11 января увеличил внутренние ценовые предложения фенола в Восточном Китае.
• Компания увеличила свои ценовые предложения фенола на CNY100 за тонну до CNY7 500 за тонну.
• Фенол является основным сырьевым компонентом для производства бисфенола А (БФА), который, в свою очередь, используется для производства поликарбоната (ПК).


📌Роснефть. $ROSN
• Международный трейдер Trafigura (TRAFGF.UL) продает свою долю в индийской Nayara Energy компании Hara Capital.
• Trafigura Group Pte Ltd владела 24,5% в индийской нефтеперерабатывающей Nayara Energy Limited, одним из крупнейших акционеров которой является российская Роснефть с долей около 49%.


📌Татнефть. $TATN
• ""Татнефть"" с 1 января повысила зарплаты сотрудникам выше плана, на 12%.
• В компании напомнили, что в прошлом году индексация зарплат в среднем по ""Татнефти"" составила 10%.


📌Аэрофлот. $AFLT
• Россия в 2023 году может выделить из Фонда национального благосостояния 175 миллиардов рублей на поддержку лизинга российских самолетов для государственного авиаперевозчика Аэрофлот.


📌ТМК. $TRMK
• Трубная металлургическая компания (ТМК) с декабря прошлого года перестала включать дочерние предприятия, находящиеся в Европе, в структуру группы.


📌Транснефть. $TRNFP
• Отгрузки нефти сортов Urals и KEBCO через балтийские порты РФ 1-20 января вырастут на 50% к аналогичному периоду декабря.
• Отгрузки нефти сортов Urals, KEBCO и Siberian Light из Новороссийска в январе запланированы в объеме 2,18 миллиона тонн против 2,24 миллиона тонн в графике декабря.


📌Россети. $RSTI
• Совет директоров ""Россетей"" 13 января обсудит проведение внеочередного собрания акционеров.
• ""Федеральная сетевая компания – Россети"" также становится головной компанией группы компаний ""Россети"". На баланс объединенной компании переведены акции других компаний группы ""Россети"", включая 16 ключевых распределительных сетевых организаций России.


📌Мосбиржa. $MOEX
• Российский рынок акций в ходе торгов среды уверенно растет на 0,77% по индексу Мосбиржи, на фоне внутреннего позитива, а РТС - при поддержке крепкого рубля.


📌Доллар. $USDRUB
• Официальный курс доллара к рублю, установленный ЦБ РФ на 12 января, - 69,0202 руб ( -58,92 коп. ).


📌VK. $VKCO
• VK в 2023 году планирует вложить около 300 млн руб. в российские студии видеоигр и запустить в университетах образовательные программы для подготовки профильных кадров. 


https://www.tinkoff.ru/sl/QRH3SPB22J
Выгодные предложения от Тинькофф с БОНУСОМ для Вас и для меня.



🔔Подписывайтесь, чтобы не пропустить свежие новости🔔
Успешной торговли!💸
___________________
Источник : ""Прайм"", ""REUTERS"", ""kommersant"".
#новости
#новичкам",17:37,2023-01-11,AFLT
Moneymaestro,$AFLT скинул все. Что-то тяжко идёт пока,17:22,2023-01-11,AFLT
Den1382,$AFLT  Долго кружить над аэродромом будет? Сколько ещё топлива в баках?,17:21,2023-01-11,AFLT
_Revers_treid_,$AFLT корректировка пошла....не люблю ждать....я соскочил👌😁,16:59,2023-01-11,AFLT
_Revers_treid_,"$AFLT предположу 28 сегодня пробьёт....застынет и до 30 дойдёт ....Но завтра,и заморозка до понедельника с лёгким ПАДЕНИЕМ....ПОТОМ СРАЗУ на 40 и это на будущей недели....короче СТОЯК УВЕРЕННЫЙ✌👌👍💪",16:25,2023-01-11,AFLT
M4slitel,"Сейчас ситуация отличная, портфель от убытка очистился теперь выходим на +, уже 3% но скоро будет 4😉, 30% роста дал $PRFN ну и по 10-25% $AFLT $NMTP буду ждать следующие коррекции. Всем профита! 🙂",16:24,2023-01-11,AFLT
KoplyNaDom,$AFLT,16:06,2023-01-11,AFLT
SereGA86Perm,$AFLT скажите дивиденды выплачивает Аэрофлот? А то с октября 2020 у меня тишина как в морге,15:54,2023-01-11,AFLT
MaksNeo,"Поставка 63 отечественных самолетов Аэрофлоту запланирована в 2023-2025 годах

В их числе SSJ New, МС-21 и ТУ-214, сообщил Мантуров.

Он также добавил, что порядка 175 млрд руб из ФНБ будет направлено в 2023 на программу льготного лизинга воздушных судов для компании.
$AFLT",15:29,2023-01-11,AFLT
Demonicaa,$AFLT время выходить . Новость сыграна ✨,15:27,2023-01-11,AFLT
Moneymaestro,$AFLT вот и вышла новость. Видимо теперь инсайдеры фиксировать будут,15:26,2023-01-11,AFLT
zahar_063,$AFLT шорт побери 😁,15:25,2023-01-11,AFLT
Prodengi,$AFLT на взлёт,15:22,2023-01-11,AFLT
GOSPODINDOLAR,"🌐 Сводка новостей.

🔹 США и союзники готовят новые санкции против российской нефтяной промышленности — WSJ.

🔹 $UAL United Airlines объявила о временной задержке всех внутренних рейсов из-за массового сбоя.

🔹 Продажи полупроводников в Китае упали на 21% в ноябре, так как мировой спрос на чипы продолжает снижаться третий месяц подряд — SCMP.

🔹 Россия в 2023г выделит из ФНБ на поддержку лизинга 63 российских самолетов для $AFLT ""Аэрофлота"" 175 млрд руб. 

🔹 Всю молодежь России необходимо обучить и зачислить в мобилизационный резерв на случай конфликта с НАТО — член комитета Госдумы по обороне, генерал-лейтенант Виктор Соболев.

🔹 Гонконгский финрегулятор предложит список токенов, которыми можно будет торговать розничным инвесторам. Регулятор настаивает на новом режиме регулирования, который сделает город более дружелюбным к крипто-стартапам — RTRS. Гонконгские брокеры и управляющие фондами готовятся к торгам цифровыми активами, т.к. регулятор расширяет доступ физикам к торгам криптой — SCMP. Крипто-рынки возлагают большую надежду на Гонконг.",15:20,2023-01-11,AFLT
Bullhippo,"$AFLT встал в небольшой шорт, думаю новость о выделении денег была давно отыграна, нужные люди знали. Много встало на текущих?",15:20,2023-01-11,AFLT
comtren,"$AFLT чувствую я, что неликвид отпампили, сейчас примутся за голубые фишки)) Просто будут подвозить новости в нужный момент. Да и сбер важный уровень прошил...) торговать новости - это самое приятное",15:18,2023-01-11,AFLT
Demonicaa,"$AFLT «Аэрофлот» в 2023-2025 получит 63 отечественных самолета (МС-21, SSJ New и Ту-214), заявил Мантуров",15:16,2023-01-11,AFLT
Prodengi,"Россия в 2023 году выделит из ФНБ на поддержку лизинга 63 российских самолетов для ""Аэрофлота"" 175 млрд руб.
$AFLT",15:16,2023-01-11,AFLT
Radar99,$AFLT 28 вниз,15:16,2023-01-11,AFLT
Burchulyonis,"$AFLT 
📉Шорт аккуратный с накоплением. 175 млрд хорошо, но не уверен, что это сильно скажется на операционной прибыли компании в 2023 году.
#ДелайКакБурчулёнис",15:14,2023-01-11,AFLT
Dengy_ne_problema,"Россия в 2023г выделит из ФНБ на поддержку лизинга 63 российских самолетов для “Аэрофлота” 175 млрд руб. 
$AFLT и так постоянно 

Все за наши деньги (общественные)


🇷🇺 Поставка 63 отечественных самолетов #AFLT Аэрофлоту запланирована в 2023-2025 годах. В их числе SSJ New, МС-21 и ТУ-124, сообщил Мантуров.",15:12,2023-01-11,AFLT
SpaceForcez,"$AFLT 
🇷🇺РФ В 2023Г ВЫДЕЛИТ ИЗ ФНБ НА ПОДДЕРЖКУ ЛИЗИНГА 63 РОССИЙСКИХ САМОЛЕТОВ ДЛЯ «АЭРОФЛОТА» 175 МЛРД РУБ. - МАНТУРОВ",15:10,2023-01-11,AFLT
